Occupational Category,Total_FullTime_Workers_Estimate,Total_FullTime_Workers_MOE3,Men_FullTime_Workers,Men_FullTime_Workers_MOE3,Women_FullTime_Workers,Women_FullTime_Workers_MOE3,Women_Percentage_in_Group_Estimate,Women_Percentage_in_Group_MOE3,Total_Median_Earnings_Estimate,Total_Median_Earnings_MOE3,Men_Median_Earnings_Estimate,Men_Median_Earnings_MOE3,Women_Median_Earnings_Estimate,Women_Median_Earnings_MOE3,Women_Earnings_as_Percentage_of_Men_Estimate,Women_Earnings_as_Percentage_of_Men_MOE3,Year
"Earth drillers, except oil and gas",21304,2871.0,21078,2858.0,226,231.0,1.1,1.1,56774,7379,56919,7376,32335,71083,(X),(X),2022
"Explosives workers, ordnance handling experts, and blasters",7492,1541.0,7249,1576.0,243,209.0,3.2,2.9,70883,4877,71451,4677,49495,19678,(X),(X),2022
Underground mining machine operators,41889,3477.0,41271,3470.0,618,368.0,1.5,0.9,73182,4176,73552,4300,61857,4366,(X),(X),2022
"Roustabouts, oil and gas",5295,1415.0,5131,1352.0,164,269.0,3.1,4.9,55734,9479,56589,7478,-,**,-,**,2022
Other extraction workers,49091,4571.0,46572,4467.0,2519,1401.0,5.1,2.8,54727,4358,54564,3651,65873,36411,(X),(X),2022
"Installation, Maintenance, and Repair Occupations:",4146880,42894.0,4003705,43614.0,143175,7686.0,3.5,0.2,54671,241,54928,264,46973,1928,85.5,3.5,2022
"First-line supervisors of mechanics, installers, and repairers",225532,8986.0,208816,8785.0,16716,2260.0,7.4,1.0,71232,1299,72012,1305,61551,2627,85.5,3.9,2022
"Computer, automated teller, and office machine repairers",105686,6548.0,95986,6383.0,9700,1838.0,9.2,1.7,49876,1758,50540,1723,44035,2341,87.1,5.8,2022
Radio and telecommunications equipment installers and repairers,137710,7875.0,129091,7956.0,8619,1707.0,6.3,1.3,61286,1254,61800,1262,45547,6712,73.7,11,2022
Avionics technicians,17554,2453.0,16393,2403.0,1161,666.0,6.6,3.8,74105,4948,75104,4357,54856,18407,(X),(X),2022
"Electric motor, power tool, and related repairers",22368,3109.0,21376,3043.0,992,732.0,4.4,3.2,52983,2999,53667,3071,29200,33611,(X),(X),2022
"Electrical and electronics installers and repairers, transportation equipment",923,502.0,923,502.0,0,210.0,0.0,17.8,51290,12054,51290,12054,-,**,-,**,2022
"Electrical and electronics repairers, industrial and utility",13922,2193.0,13411,2080.0,511,484.0,3.7,3.3,95688,5667,96087,5660,39622,92570,(X),(X),2022
"Electronic equipment installers and repairers, motor vehicles",5866,1640.0,5701,1621.0,165,192.0,2.8,3.2,48694,4930,48905,3199,23323,1326,(X),(X),2022
Audiovisual equipment installers and repairers,36661,4409.0,35315,4494.0,1346,782.0,3.7,2.2,49440,3374,48998,3684,55980,6142,(X),(X),2022
Security and fire alarm systems installers,59424,4826.0,57597,4688.0,1827,887.0,3.1,1.5,56003,1710,56185,1730,42956,17851,(X),(X),2022
Aircraft mechanics and service technicians,131694,6733.0,126061,6340.0,5633,1530.0,4.3,1.1,72525,1785,72940,1750,54569,6708,(X),(X),2022
Automotive body and related repairers,106672,5947.0,104152,5842.0,2520,1190.0,2.4,1.1,52353,1162,52575,1120,33088,20761,(X),(X),2022
Automotive glass installers and repairers,17953,2703.0,17408,2683.0,545,411.0,3.0,2.3,41711,2851,42145,3834,34300,3611,(X),(X),2022
Automotive service technicians and mechanics,722935,17151.0,711420,16935.0,11515,2017.0,1.6,0.3,46828,841,46875,821,43097,6127,91.9,12.6,2022
Bus and truck mechanics and diesel engine specialists,276338,9936.0,273305,9709.0,3033,1044.0,1.1,0.4,55588,1220,55837,1244,41547,4570,(X),(X),2022
Heavy vehicle and mobile equipment service technicians and mechanics,190160,8380.0,187951,8415.0,2209,797.0,1.2,0.4,61531,1254,61809,1256,35116,8464,(X),(X),2022
Small engine mechanics,33219,3942.0,32683,3909.0,536,489.0,1.6,1.5,44166,3204,43833,3104,60846,6507,(X),(X),2022
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",68875,5428.0,66032,5345.0,2843,1059.0,4.1,1.5,36325,946,36218,1056,37124,13946,(X),(X),2022
Control and valve installers and repairers,25716,3345.0,24244,3279.0,1472,669.0,5.7,2.6,59300,5314,59849,5811,50414,9625,(X),(X),2022
"Heating, air conditioning, and refrigeration mechanics and installers",400426,11736.0,395599,11547.0,4827,1251.0,1.2,0.3,53619,948,53686,952,41929,9870,(X),(X),2022
Home appliance repairers,31862,3475.0,30211,3321.0,1651,822.0,5.2,2.5,47152,4000,46240,4226,51113,7578,(X),(X),2022
Industrial and refractory machinery mechanics,303656,10399.0,291173,9885.0,12483,2346.0,4.1,0.7,61964,990,62445,1038,51370,1919,82.3,3.3,2022
"Maintenance and repair workers, general",648016,14238.0,622312,13277.0,25704,3156.0,4.0,0.5,52655,539,53041,581,40931,2349,77.2,4.6,2022
"Maintenance workers, machinery",21502,2575.0,21079,2534.0,423,306.0,2.0,1.4,60444,5303,59828,5409,73073,14298,(X),(X),2022
Millwrights,40213,3492.0,39088,3320.0,1125,733.0,2.8,1.8,74239,3252,74766,3440,62763,20256,(X),(X),2022
Electrical power-line installers and repairers,119941,7032.0,115252,6639.0,4689,1618.0,3.9,1.3,88826,4346,90177,4052,48409,16181,(X),(X),2022
Telecommunications line installers and repairers,99840,6627.0,96640,6624.0,3200,1280.0,3.2,1.3,62675,1839,62919,1834,57167,10009,(X),(X),2022
Precision instrument and equipment repairers,56025,4167.0,49890,3897.0,6135,1412.0,11.0,2.4,60462,2921,62192,2543,46099,2273,(X),(X),2022
Wind turbine service technicians,5511,1395.0,5503,1400.0,8,17.0,0.1,0.3,72289,9782,72221,9815,-,**,-,**,2022
"Coin, vending, and amusement machine servicers and repairers",22030,3583.0,20364,3477.0,1666,629.0,7.6,2.8,41290,3018,41975,3348,32476,5728,(X),(X),2022
Commercial divers,2148,584.0,1804,499.0,344,333.0,16.0,13.6,55321,18590,55705,16613,31786,86998,(X),(X),2022
Locksmiths and safe repairers,22207,2478.0,21430,2463.0,777,494.0,3.5,2.2,48619,3329,49108,3420,32015,20720,(X),(X),2022
Manufactured building and mobile home installers,2183,867.0,2183,867.0,0,210.0,0.0,8.0,29301,21648,29301,21648,-,**,-,**,2022
Riggers,9818,2018.0,9153,2047.0,665,625.0,6.8,6.4,60975,3460,61090,4024,59729,66817,(X),(X),2022
"Helpers--installation, maintenance, and repair workers",13927,2043.0,12948,2012.0,979,534.0,7.0,3.8,36476,1489,36851,2820,35151,6379,(X),(X),2022
"Other installation, maintenance, and repair workers",148367,7854.0,141211,7780.0,7156,1586.0,4.8,1.1,46377,1133,46755,1172,39800,5394,85.1,11.9,2022
"Production, Transportation, and Material Moving Occupations:",15350829,79638.0,12001494,69130.0,3349335,38138.0,21.8,0.2,43376,145,46944,163,35409,180,75.4,0.5,2022
Production Occupations:,7019626,59152.0,5178333,50708.0,1841293,26596.0,26.2,0.3,45073,209,49667,260,36546,191,73.6,0.5,2022
First-line supervisors of production and operating workers,735946,15809.0,579940,15090.0,156006,6622.0,21.2,0.9,62739,580,65965,894,48658,1724,73.8,2.6,2022
"Aircraft structure, surfaces, rigging, and systems assemblers",4007,1131.0,3203,1006.0,804,422.0,20.1,9.4,59706,6742,62619,8973,54013,15054,(X),(X),2022
"Electrical, electronics, and electromechanical assemblers",96346,5701.0,54745,3912.0,41601,3590.0,43.2,2.5,38938,1368,41395,1054,35661,1166,86.1,3.5,2022
Engine and other machine assemblers,10146,1923.0,8751,1748.0,1395,870.0,13.7,7.8,51877,3710,53557,2519,37116,7974,(X),(X),2022
Structural metal fabricators and fitters,21472,3282.0,20922,3267.0,550,308.0,2.6,1.5,49442,3449,49713,3615,45714,9127,(X),(X),2022
Other assemblers and fabricators,816433,15237.0,533770,10887.0,282663,10090.0,34.6,0.9,40703,331,42361,507,37117,506,87.6,1.6,2022
Bakers,134647,8609.0,57707,5497.0,76940,5786.0,57.1,2.7,32795,795,35590,1178,31289,585,87.9,3.5,2022
"Butchers and other meat, poultry, and fish processing workers",200321,8358.0,158504,6870.0,41817,4150.0,20.9,1.7,39117,1264,40790,789,34280,1522,84,4.1,2022
"Food and tobacco roasting, baking, and drying machine operators and tenders",8229,1774.0,6412,1609.0,1817,709.0,22.1,8.0,43297,2402,44237,3798,37050,15702,(X),(X),2022
Food batchmakers,56430,3953.0,23470,2789.0,32960,3400.0,58.4,4.2,35818,1313,43270,2513,32834,1225,75.9,5.2,2022
Food cooking machine operators and tenders,8281,1770.0,6287,1661.0,1994,757.0,24.1,8.8,31686,4843,34354,9952,28413,7512,(X),(X),2022
"Food processing workers, all other",120047,6881.0,82733,4781.0,37314,4035.0,31.1,2.4,42152,1169,45556,1532,37864,1358,83.1,4,2022
Computer numerically controlled tool operators and programmers,80888,5493.0,72739,5674.0,8149,1887.0,10.1,2.4,51809,1054,52676,1281,40620,5634,77.1,11.4,2022
"Forming machine setters, operators, and tenders, metal and plastic",25866,3132.0,22125,2841.0,3741,1216.0,14.5,4.3,47960,1311,48488,1400,43043,7956,(X),(X),2022
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",53903,4268.0,45834,3879.0,8069,1402.0,15.0,2.4,41869,1145,43473,1751,34254,2549,78.8,6.6,2022
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",33725,3077.0,30152,2943.0,3573,1025.0,10.6,2.9,41493,1571,42074,2049,31515,10473,(X),(X),2022
"Other machine tool setters, operators, and tenders, metal and plastic",7862,1707.0,6916,1618.0,946,485.0,12.0,5.9,43667,4648,45460,3520,32669,6091,(X),(X),2022
Machinists,315087,10217.0,301770,9854.0,13317,2050.0,4.2,0.6,54272,688,54838,814,36639,1630,66.8,3.3,2022
"Metal furnace operators, tenders, pourers, and casters",19486,2413.0,17235,2156.0,2251,890.0,11.6,4.2,54965,2696,56395,2926,41226,3581,(X),(X),2022
"Model makers and patternmakers, metal and plastic",2718,837.0,1987,682.0,731,447.0,26.9,13.2,52818,6000,56145,5088,35517,15270,(X),(X),2022
"Molders and molding machine setters, operators, and tenders, metal and plastic",29005,2978.0,24975,2679.0,4030,1049.0,13.9,3.3,44009,2559,47414,4530,36238,2034,(X),(X),2022
Tool and die makers,45164,3687.0,43946,3548.0,1218,631.0,2.7,1.3,64908,2628,65516,2870,38423,2760,(X),(X),2022
"Welding, soldering, and brazing workers",483309,13438.0,457887,13389.0,25422,3781.0,5.3,0.8,48612,818,49245,833,40787,1384,82.8,2.9,2022
Other metal workers and plastic workers,341444,14063.0,269488,12148.0,71956,5453.0,21.1,1.4,43225,941,45769,914,37372,1079,81.7,3.1,2022
Prepress technicians and workers,14515,2089.0,9144,1586.0,5371,1177.0,37.0,6.2,48152,3934,51066,6737,44088,7562,(X),(X),2022
Printing press operators,105703,5939.0,84789,5407.0,20914,2520.0,19.8,2.2,43036,1284,45656,1728,31649,1394,69.3,4.1,2022
Print binding and finishing workers,6660,1221.0,4757,1151.0,1903,610.0,28.6,8.7,41475,1890,43740,4565,35741,4117,(X),(X),2022
Laundry and dry-cleaning workers,78035,5463.0,27874,3736.0,50161,3756.0,64.3,3.4,28776,1659,31965,1460,26862,1084,84,5.1,2022
"Pressers, textile, garment, and related materials",17013,2354.0,9899,1658.0,7114,1440.0,41.8,5.9,32397,3301,43983,3607,28988,2859,(X),(X),2022
Sewing machine operators,85647,5881.0,26944,3188.0,58703,4628.0,68.5,2.9,32220,590,33081,2529,31883,672,96.4,7.2,2022
Shoe and leather workers,8768,1669.0,5304,1074.0,3464,1184.0,39.5,9.1,32068,3924,37157,6874,26817,5013,(X),(X),2022
"Tailors, dressmakers, and sewers",33832,2999.0,11414,2049.0,22418,2415.0,66.3,4.9,36183,1498,39733,5663,35415,1792,89.1,14.1,2022
"Textile machine setters, operators, and tenders",12713,1855.0,7113,1632.0,5600,1416.0,44.0,9.6,32399,2188,35208,5535,31595,3519,(X),(X),2022
Upholsterers,22471,2889.0,17246,2528.0,5225,1493.0,23.3,5.8,36638,1762,38922,2583,30689,2118,(X),(X),2022
"Other textile, apparel, and furnishings workers",13376,2330.0,8310,1872.0,5066,1437.0,37.9,8.9,43727,4296,48996,10459,42610,12430,(X),(X),2022
Cabinetmakers and bench carpenters,41548,3886.0,38369,3632.0,3179,1008.0,7.7,2.3,42935,1873,44099,2152,27887,6203,(X),(X),2022
Furniture finishers,8729,2120.0,7589,2019.0,1140,718.0,13.1,7.9,42069,2472,42474,8517,38378,13432,(X),(X),2022
"Sawing machine setters, operators, and tenders, wood",19186,2151.0,17694,2038.0,1492,745.0,7.8,3.7,37929,2928,37408,3217,41195,6873,(X),(X),2022
"Woodworking machine setters, operators, and tenders, except sawing",14345,2333.0,11652,1981.0,2693,803.0,18.8,4.6,38192,3596,39039,4184,35965,6643,(X),(X),2022
Other woodworkers,26885,3106.0,24208,3002.0,2677,995.0,10.0,3.6,42217,2283,42096,2154,44425,15247,(X),(X),2022
"Power plant operators, distributors, and dispatchers",47767,4449.0,44032,4309.0,3735,950.0,7.8,1.9,106644,3943,106570,3813,113352,25552,(X),(X),2022
Stationary engineers and boiler operators,85146,5253.0,82263,5235.0,2883,946.0,3.4,1.1,71639,2771,71955,2869,67368,6761,(X),(X),2022
Water and wastewater treatment plant and system operators,94097,5157.0,90559,5174.0,3538,890.0,3.8,1.0,58267,2461,58264,2533,58317,5760,(X),(X),2022
Miscellaneous plant and system operators,41358,4075.0,38644,3994.0,2714,932.0,6.6,2.2,85093,5427,83978,5498,90059,11292,(X),(X),2022
"Chemical processing machine setters, operators, and tenders",71451,5746.0,62159,5490.0,9292,1472.0,13.0,2.0,57561,2838,59017,1911,42215,4251,71.5,8,2022
"Crushing, grinding, polishing, mixing, and blending workers",63738,4962.0,57099,4280.0,6639,1552.0,10.4,2.1,50067,2311,50893,2285,41344,3240,(X),(X),2022
Cutting workers,47959,4055.0,35512,3220.0,12447,2049.0,26.0,3.4,38294,1049,39666,1286,33708,2077,85,5.8,2022
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",21968,2626.0,17867,2315.0,4101,1253.0,18.7,5.0,44584,3369,48087,2460,32503,4044,(X),(X),2022
"Furnace, kiln, oven, drier, and kettle operators and tenders",9788,1821.0,7795,1655.0,1993,796.0,20.4,7.4,51371,6537,57159,14960,36413,8531,(X),(X),2022
"Inspectors, testers, sorters, samplers, and weighers",699757,17468.0,440509,12522.0,259248,10540.0,37.0,1.1,48725,889,55163,1127,40573,564,73.6,1.9,2022
Jewelers and precious stone and metal workers,30095,3311.0,19291,2476.0,10804,1891.0,35.9,4.7,41976,3508,46905,6105,35888,5224,76.5,14.2,2022
Dental and ophthalmic laboratory technicians and medical appliance technicians,67860,4290.0,29782,2569.0,38078,3428.0,56.1,3.1,42269,1624,50708,1796,37570,1768,74.1,4.6,2022
Packaging and filling machine operators and tenders,196347,8662.0,92667,5384.0,103680,6383.0,52.8,2.0,36241,562,40622,886,33571,1016,82.6,3,2022
Painting workers,116186,7149.0,105601,6794.0,10585,1791.0,9.1,1.5,45085,2422,45988,2851,41332,3030,89.9,8.5,2022
Photographic process workers and processing machine operators,21653,2317.0,13800,1869.0,7853,1328.0,36.3,5.0,74414,8833,85451,4992,57232,7152,(X),(X),2022
Adhesive bonding machine operators and tenders,9222,1620.0,6466,1217.0,2756,1090.0,29.9,9.4,43641,3760,45423,2601,36524,8992,(X),(X),2022
Etchers and engravers,5827,1951.0,3707,1225.0,2120,1120.0,36.4,11.8,48060,4732,50187,11169,47922,6125,(X),(X),2022
"Molders, shapers, and casters, except metal and plastic",20795,2465.0,17961,2245.0,2834,762.0,13.6,3.3,42496,3511,42806,3260,35364,17529,(X),(X),2022
"Paper goods machine setters, operators, and tenders",16603,2568.0,13865,2275.0,2738,1179.0,16.5,6.4,47270,7161,50297,5176,32048,11605,(X),(X),2022
Tire builders,12077,2378.0,11423,2367.0,654,388.0,5.4,3.3,52417,3519,52318,3343,57568,11983,(X),(X),2022
Helpers--production workers,39353,3888.0,28822,3085.0,10531,2187.0,26.8,4.5,33553,1545,34594,2339,31652,2216,91.5,8.7,2022
Other production equipment operators and tenders,7919,1876.0,7150,1816.0,769,487.0,9.7,6.0,46932,7885,49250,8157,36584,11382,(X),(X),2022
Other production workers,1132472,20931.0,807555,17817.0,324917,11472.0,28.7,0.9,41502,258,44766,554,35137,658,78.5,1.9,2022
Transportation and Material Moving Occupations:12,8331203,57130.0,6823161,51856.0,1508042,22805.0,18.1,0.2,42070,127,44860,252,33560,367,74.8,1,2022
Transportation Occupations:,4340588,40026.0,3853734,37460.0,486854,12495.0,11.2,0.3,51768,212,53242,294,38252,881,71.8,1.7,2022
Supervisors of transportation and material moving workers,285052,9738.0,213950,8711.0,71102,4130.0,24.9,1.3,54626,1262,59654,1725,42902,1908,71.9,3.8,2022
Aircraft pilots and flight engineers,111069,6318.0,104863,5974.0,6206,1261.0,5.6,1.1,128652,5403,131647,7583,94593,27673,(X),(X),2022
Air traffic controllers and airfield operations specialists,29350,3246.0,23364,2667.0,5986,1551.0,20.4,4.3,110239,8465,114451,11467,102283,6599,(X),(X),2022
Flight attendants,54758,4401.0,15743,2350.0,39015,4003.0,71.2,3.9,53980,2833,60226,4349,51583,2978,85.6,7.4,2022
"Ambulance drivers and attendants, except emergency medical technicians",5989,1473.0,4103,1357.0,1886,935.0,31.5,14.1,40411,5144,41829,2866,31395,8820,(X),(X),2022
"Bus drivers, school",108128,6343.0,52067,4582.0,56061,4219.0,51.8,2.8,35095,1101,38930,1775,32168,885,82.6,4.5,2022
"Bus drivers, transit and intercity",153426,7046.0,108057,5858.0,45369,3612.0,29.6,1.9,50381,1042,53593,1306,40121,2243,74.9,4.6,2022
Driver/sales workers and truck drivers,2910524,34364.0,2744927,33226.0,165597,8528.0,5.7,0.3,52583,324,53448,339,37058,1207,69.3,2.3,2022
Shuttle drivers and chauffeurs,39410,4012.0,34135,3664.0,5275,1180.0,13.4,2.7,40367,2260,40879,2377,35817,8286,(X),(X),2022
Taxi drivers,226317,10144.0,199158,8445.0,27159,4067.0,12.0,1.5,37612,1512,39361,1565,26698,1875,67.8,5.1,2022
"Motor vehicle operators, all other",84738,5541.0,68130,5033.0,16608,2801.0,19.6,3.0,36621,1289,37660,2066,33197,2349,88.1,8.5,2022
Locomotive engineers and operators,41554,3434.0,40453,3285.0,1101,743.0,2.6,1.7,88959,6310,90034,6519,58599,49807,(X),(X),2022
Railroad conductors and yardmasters,38772,3298.0,35217,2943.0,3555,1481.0,9.2,3.5,79756,4253,81097,3334,52058,11403,(X),(X),2022
Other rail transportation workers,19935,3532.0,17894,3262.0,2041,1046.0,10.2,4.8,74152,3722,73664,2261,82202,15008,(X),(X),2022
Sailors and marine oilers,15453,2330.0,14119,2196.0,1334,643.0,8.6,3.9,55620,9075,54843,10268,58512,9920,(X),(X),2022
Ship and boat captains and operators,24878,3409.0,23125,3306.0,1753,802.0,7.0,3.2,81238,3904,81264,3724,80712,37209,(X),(X),2022
Ship engineers,2019,731.0,1942,732.0,77,83.0,3.8,4.4,66195,14272,66009,14871,81250,74631,(X),(X),2022
Parking attendants,34963,3678.0,31770,3459.0,3193,1184.0,9.1,3.2,32249,1307,32787,1664,27471,3459,(X),(X),2022
Transportation service attendants,65101,4995.0,53534,4598.0,11567,2095.0,17.8,3.0,32168,1036,33972,2005,27005,4954,79.5,15.2,2022
Transportation inspectors,40054,3514.0,34424,3336.0,5630,1443.0,14.1,3.4,68704,5348,73098,5749,50419,14251,(X),(X),2022
Passenger attendants,15394,2401.0,6719,1468.0,8675,1934.0,56.4,7.8,31669,2132,37392,23450,30808,1600,(X),(X),2022
Other transportation workers,33704,3263.0,26040,2778.0,7664,1475.0,22.7,3.7,55678,4957,61763,3984,48113,5355,77.9,10.4,2022
Material Moving Occupations:,3990615,40884.0,2969427,35647.0,1021188,20029.0,25.6,0.4,36154,180,37573,293,32174,205,85.6,0.8,2022
Crane and tower operators,56063,4998.0,55158,4839.0,905,584.0,1.6,1.0,70881,3606,71364,2963,48781,1188,(X),(X),2022
"Conveyor, dredge, and hoist and winch operators",20120,2458.0,19304,2357.0,816,464.0,4.1,2.2,55735,5941,57880,6063,28992,12601,(X),(X),2022
Industrial truck and tractor operators,560111,14175.0,508558,13882.0,51553,3762.0,9.2,0.7,40729,333,40906,354,37411,1920,91.5,4.8,2022
Cleaners of vehicles and equipment,220669,8976.0,181122,8185.0,39547,4138.0,17.9,1.7,32399,620,32955,1216,30598,1699,92.8,6.6,2022
"Laborers and freight, stock, and material movers, hand",1612118,27182.0,1256445,23802.0,355673,11284.0,22.1,0.6,36862,264,38274,516,32812,726,85.7,2.2,2022
Machine feeders and offbearers,19451,2926.0,10475,1996.0,8976,1851.0,46.1,6.4,37658,2351,42766,4613,32088,3436,75,11.5,2022
"Packers and packagers, hand",357854,12808.0,158333,7241.0,199521,9380.0,55.8,1.5,31670,277,33162,943,30831,350,93,3,2022
Stockers and order fillers,996750,18700.0,646932,15126.0,349818,11033.0,35.1,0.9,32973,403,33618,503,32106,335,95.5,1.6,2022
Pumping station operators,19572,2194.0,19045,2160.0,527,387.0,2.7,1.9,68785,8026,69880,8479,61796,25909,(X),(X),2022
Refuse and recyclable material collectors,70278,4850.0,63055,4351.0,7223,1759.0,10.3,2.3,40217,1880,41442,1523,28104,3291,(X),(X),2022
Other material moving workers,57629,4322.0,51000,4361.0,6629,1268.0,11.5,2.3,43451,1813,44626,2564,37971,3828,85.1,9.9,2022
"Management, Business, Science, and Arts Occupations",43034023,114563.0,22005916,79614.0,21028107,74124.0,48.9,0.1,62255,54,75407,156,53521,194,71,0.3,2015
"Management, Business, and Financial Occupations",19354617,73502.0,10972805,50681.0,8381812,45704.0,43.3,0.2,68088,449,77975,747,58401,520,74.9,1,2015
Management Occupations,13439959,56176.0,8273239,45832.0,5166720,33055.0,38.4,0.2,71660,171,80809,224,61138,195,75.7,0.3,2015
Chief executives,1040875,17791.0,796280,14678.0,244595,7691.0,23.5,0.6,126200,993,140057,4486,101496,932,72.5,2.4,2015
General and operations managers,820262,15304.0,582065,12886.0,238197,8501.0,29.0,0.9,69820,1517,75067,1365,57384,2567,76.4,3.7,2015
Legislators,11383,1399.0,6260,1165.0,5123,987.0,45.0,7.1,61769,6503,70789,9140,56731,4905,80.1,12.5,2015
Advertising and promotions managers,42778,3652.0,19268,2210.0,23510,2497.0,55.0,3.4,61440,3470,70913,8433,55329,5756,78,12.3,2015
